Title,Latitude,Longitude,County,Visited,Date,HeritageGroup,Link,Note
Abereiddi to Abermawr,51.93824,-5.207767,,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/abereiddi-to-abermawr,
Alfred's Tower,51.114861,-2.365026,,no,,National Trust,https://www.nationaltrust.org.uk/visit/wiltshire/alfreds-tower,
Castlefield Viaduct,53.475178,-2.254759,,no,,National Trust,https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/castlefield-viaduct,
Coughton Court,52.243939,-1.879281,,no,,National Trust,https://www.nationaltrust.org.uk/visit/warwickshire/coughton-court,
Coventry Charterhouse,52.40119,-1.4948,,no,,National Trust,https://www.nationaltrust.org.uk/visit/warwickshire/coventry-charterhouse,
Cregennan,52.709828,-3.988609,,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/cregennan,
Cwmtydu to New Quay,52.191394,-4.406872,,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/cwmtydu-to-new-quay,
Dunham Massey,53.3832,-2.4045,,no,,National Trust,https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/dunham-massey,
Hafod y Bwch Commemorative Woodland,53.011913,-3.025094,,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/hafod-y-bwch-commemorative-woodland,
Harting Down,50.95656,-0.875635,,no,,National Trust,https://www.nationaltrust.org.uk/visit/sussex/harting-down,
Holcombe Moor and Stubbins Estate,53.663547,-2.355444,,no,,National Trust,https://www.nationaltrust.org.uk/visit/liverpool-lancashire/holcombe-moor-and-stubbins-estate,
Marley Common,51.073106,-0.735607,,no,,National Trust,https://www.nationaltrust.org.uk/visit/sussex/marley-common,
Mendip Hills,51.296276,-2.721176,,no,,National Trust,https://www.nationaltrust.org.uk/visit/somerset/mendip-hills,
Munstead Wood,51.175704,-0.596164,,no,,National Trust,https://www.nationaltrust.org.uk/visit/surrey/munstead-wood,
Mwnt,52.1354,-4.64063,,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/mwnt,
