Title,Latitude,Longitude,County,Visited,Date,HeritageGroup,Post,Note
Wimpole Estate,52.14,-0.05,Cambridgeshire,yes,09/03/2025,National Trust,/blog/2025/nt-wimpole/,
Lyveden New Bield,52.457,-0.568,Northamptonshire,yes,07/02/2026,National Trust,/blog/2026/nt-lyveden/,
Farne Islands,55.616,-1.657,Northumberland,yes,03/05/2026,National Trust,/blog/2026/nt-farne/,
Ashridge Estate,51.804,-0.596,Hertfordshire,yes,02/11/2025,National Trust,/blog/2026/nt-ashridge/,
Leeds Castle,51.249,0.63,Kent,yes,16/09/2023,Independent,,
Hampton Court Palace,51.403,-0.337,Greater London,yes,14/05/2023,Historic Royal Palaces,,
Osborne House,50.751,-1.27,Isle of Wight,yes,06/04/2023,English Heritage,,
Chatsworth House,53.227,-1.61,Derbyshire,yes,30/07/2023,Independent,,
Syon House,51.476,-0.31,Greater London,yes,24/09/2023,Independent,,
Painshill Park,51.334,-0.42,Surrey,yes,06/04/2024,Independent,,
Windsor Great Park,51.439,-0.624,Berkshire,yes,12/05/2024,Independent,,
Winkworth Arboretum,51.187,-0.584,Surrey,yes,27/10/2024,National Trust,,
Holkham Estate,52.959,0.803,Norfolk,yes,03/11/2024,Independent,,
Anglesey Abbey,52.237,0.24,Cambridgeshire,yes,02/03/2025,National Trust,,
Ickworth Estate,52.219,0.663,Suffolk,yes,16/03/2025,National Trust,,
Melford Hall,52.082,0.717,Suffolk,yes,05/04/2025,National Trust,,
Hill Top,54.351,-2.971,Cumbria,yes,19/04/2025,National Trust,,
Aira Force,54.576,-2.931,Cumbria,yes,21/04/2025,National Trust,,
Crow Park,54.601,-3.137,Cumbria,yes,19/04/2025,National Trust,,
Oxburgh Hall,52.581,0.571,Norfolk,yes,03/05/2025,National Trust,,
Woolsthorpe Manor,52.809,-0.63,Lincolnshire,yes,05/05/2025,National Trust,,
Hatfield Forest,51.856,0.221,Essex,yes,10/05/2025,National Trust,,
Speke Hall,53.353,-2.874,Merseyside,yes,26/07/2025,National Trust,,
The Beatles Childhood Homes,53.378,-2.881,Merseyside,yes,26/07/2025,National Trust,,20 Forthlin Road and 251 Menlove Avenue
Formby Beach,53.558,-3.095,Merseyside,yes,27/07/2025,National Trust,,
Lyme Park,53.338,-2.055,Cheshire,yes,27/07/2025,National Trust,,
Pin Mill,52.002,1.159,Suffolk,yes,10/08/2025,National Trust,,
Orford Ness,52.088,1.573,Suffolk,yes,10/08/2025,National Trust,,
Cliveden,51.558,-0.688,Buckinghamshire,yes,21/09/2025,National Trust,,
Hughenden Manor,51.652,-0.75,Buckinghamshire,yes,04/10/2025,National Trust,,
Stowe,52.033,-1.018,Buckinghamshire,yes,12/10/2025,National Trust,,
Claydon Estate,51.916,-0.957,Buckinghamshire,yes,12/10/2025,National Trust,,
One Tree Hill,51.278,0.181,Kent,yes,25/10/2025,National Trust,,
Emmetts Garden,51.256,0.116,Kent,yes,25/10/2025,National Trust,,
Sheffield Park and Garden,50.997,0.01,East Sussex,yes,26/10/2025,National Trust,,
Horsey Windpump,52.744,1.648,Norfolk,yes,17/01/2026,National Trust,,
Dunwich Heath,52.256,1.627,Suffolk,yes,14/02/2026,National Trust,,
Shaw's Corner,51.835,-0.22,Hertfordshire,yes,19/04/2026,National Trust,,
Cragside,55.313,-1.886,Northumberland,yes,02/05/2026,National Trust,,
Lindisfarne Castle,55.669,-1.784,Northumberland,yes,04/05/2026,National Trust,,
Hadrian's Wall and Housesteads Roman Fort,55.013,-2.331,Northumberland,yes,04/05/2026,English Heritage,,
